Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
4, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2
5, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2
6, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2
7, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3, 2, 2, 2
8, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3
9, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 5, 3, 4, 3, 3, 4, 3, 4, 3, 6, 3, 5, 5, 3, 4, 5, 3, 3, 4
10, 5, 4, 3, 5, 4, 5, 4, 3, 3, 5, 3, 5, 3, 5, 4, 4, 5, 4, 4, 3, 7, 4, 6, 5, 3, 5, 5, 3, 4, 5
11, 6, 4, 3, 6, 5, 5, 5, 3, 3, 5, 3, 6, 3, 6, 5, 4, 6, 5, 4, 3, 7, 5, 7, 5, 3, 6, 5, 3, 4, 6
12, 6, 5, 3, 6, 5, 5, 6, 3, 4, 5, 3, 7, 3, 6, 5, 4, 6, 5, 4, 3, 8, 5, 7, 5, 3, 6, 5, 3, 5, 6
13, 8, 5, 3, 6, 5, 5, 7, 3, 4, 6, 3, 7, 3, 6, 5, 4, 6, 5, 4, 3, 8, 5, 7, 6, 3, 6, 5, 4, 5, 6
14, 8, 5, 4, 7, 5, 5, 7, 3, 4, 6, 3, 7, 3, 8, 5, 4, 6, 5, 4, 3, 8, 5, 7, 6, 3, 6, 5, 4, 5, 6
15, 8, 5, 4, 7, 5, 5, 7, 4, 4, 6, 3, 7, 3, 8, 5, 5, 6, 6, 4, 3, 8, 5, 7, 6, 3, 6, 6, 4, 5, 6
16, 8, 6, 4, 7, 5, 5, 8, 5, 4, 6, 3, 7, 3, 8, 5, 5, 6, 6, 4, 3, 8, 5, 8, 6, 3, 6, 6, 4, 5, 6
17, 8, 6, 4, 8, 5, 5, 8, 5, 4, 7, 3, 7, 4, 8, 5, 5, 6, 6, 4, 4, 8, 5, 8, 6, 3, 6, 6, 4, 5, 6
18, 8, 6, 4, 8, 5, 5, 8, 5, 4, 7, 3, 7, 4, 8, 5, 5, 6, 6, 4, 4, 8, 5, 8, 6, 4, 6, 6, 5, 5, 6
19, 8, 6, 4, 8, 5, 5, 8, 5, 4, 8, 4, 7, 4, 8, 5, 6, 6, 6, 5, 4, 8, 5, 8, 6, 4, 6, 6, 5, 5, 6
20, 8, 6, 4, 8, 5, 6, 8, 5, 4, 8, 4, 7, 4, 8, 5, 6, 6, 6, 5, 4, 8, 5, 8, 6, 4, 6, 6, 6, 6, 6
