Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 0, 1
2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 2, 3, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3
3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3
4, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3
5, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3
6, 4, 2, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3
7, 4, 2, 3, 3, 4, 3, 4, 5, 2, 3, 3, 4, 1, 5, 3, 3, 5, 3, 4, 4, 5, 4, 2, 3, 4, 2, 3, 3, 3, 3
8, 4, 3, 3, 4, 4, 3, 4, 5, 2, 4, 4, 4, 2, 6, 3, 6, 6, 3, 4, 4, 5, 4, 2, 5, 4, 3, 3, 3, 3, 3
9, 4, 3, 3, 5, 4, 3, 5, 6, 2, 4, 4, 4, 3, 7, 3, 6, 6, 3, 5, 4, 5, 4, 3, 7, 4, 3, 3, 3, 3, 3
10, 4, 3, 3, 5, 5, 3, 5, 6, 2, 5, 4, 4, 3, 7, 3, 7, 7, 3, 5, 5, 6, 4, 4, 7, 4, 3, 3, 3, 3, 3
11, 4, 3, 3, 6, 5, 3, 5, 8, 3, 6, 4, 4, 3, 8, 3, 8, 7, 3, 6, 5, 6, 4, 4, 7, 4, 4, 3, 3, 3, 3
12, 4, 4, 3, 6, 6, 3, 5, 8, 4, 6, 4, 4, 4, 8, 3, 9, 8, 3, 6, 5, 6, 4, 4, 7, 6, 5, 3, 3, 3, 3
13, 4, 5, 3, 6, 6, 4, 6, 8, 4, 7, 5, 4, 4, 10, 3, 9, 8, 3, 7, 5, 7, 4, 4, 7, 6, 5, 3, 3, 3, 3
14, 4, 5, 3, 6, 6, 5, 6, 9, 4, 7, 5, 4, 4, 10, 3, 9, 9, 3, 8, 6, 8, 4, 4, 7, 6, 6, 3, 3, 3, 3
15, 4, 5, 3, 6, 6, 5, 6, 9, 4, 7, 5, 4, 4, 10, 3, 9, 9, 3, 8, 6, 8, 4, 4, 8, 6, 6, 3, 3, 3, 3
16, 4, 5, 4, 6, 6, 5, 6, 9, 4, 8, 6, 6, 4, 10, 3, 9, 10, 3, 8, 6, 8, 5, 4, 8, 6, 7, 3, 3, 4, 3
17, 4, 5, 4, 6, 6, 5, 6, 9, 4, 8, 6, 6, 5, 10, 3, 9, 10, 5, 8, 6, 8, 5, 4, 9, 7, 8, 3, 3, 4, 3
18, 4, 5, 4, 6, 6, 5, 6, 9, 4, 9, 7, 6, 5, 10, 3, 9, 10, 5, 8, 7, 8, 5, 4, 9, 7, 8, 4, 3, 4, 3
19, 4, 6, 4, 6, 6, 5, 6, 9, 4, 9, 7, 6, 5, 10, 4, 9, 10, 5, 8, 7, 8, 5, 4, 10, 7, 8, 4, 4, 4, 3
20, 4, 7, 4, 6, 6, 5, 6, 9, 4, 9, 7, 6, 5, 10, 4, 9, 10, 5, 8, 7, 8, 5, 4, 10, 7, 8, 5, 4, 4, 3
21, 4, 7, 4, 6, 6, 5, 6, 9, 4, 9, 7, 6, 5, 10, 4, 9, 10, 6, 8, 7, 8, 5, 4, 10, 7, 8, 5, 4, 4, 3
22, 4, 7, 4, 6, 6, 5, 6, 9, 4, 9, 8, 6, 5, 10, 4, 9, 10, 6, 8, 8, 8, 5, 4, 10, 7, 8, 5, 4, 4, 3
23, 4, 7, 4, 6, 6, 5, 6, 9, 4, 9, 8, 7, 5, 10, 4, 9, 10, 6, 8, 9, 8, 5, 5, 10, 7, 8, 5, 4, 4, 3
24, 4, 7, 4, 6, 6, 5, 6, 9, 4, 9, 9, 7, 5, 10, 4, 9, 10, 6, 8, 9, 8, 5, 5, 10, 7, 8, 5, 4, 4, 3
25, 4, 8, 4, 6, 6, 5, 6, 9, 4, 9, 9, 7, 5, 10, 4, 9, 10, 6, 8, 9, 8, 5, 5, 10, 7, 8, 5, 4, 4, 3
26, 4, 9, 4, 6, 6, 5, 6, 9, 4, 9, 9, 7, 5, 10, 5, 9, 10, 6, 8, 9, 8, 5, 5, 10, 7, 8, 5, 4, 4, 3
27, 4, 9, 4, 6, 6, 5, 6, 9, 4, 9, 9, 7, 5, 10, 5, 9, 10, 6, 8, 9, 8, 5, 5, 11, 7, 8, 5, 4, 4, 3
28, 4, 9, 4, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 5, 9, 10, 6, 8, 9, 8, 5, 5, 11, 7, 8, 6, 4, 4, 3
29, 4, 9, 4, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 5, 9, 10, 6, 8, 9, 8, 5, 5, 11, 7, 8, 6, 4, 4, 3
30, 4, 9, 4, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 5, 9, 10, 6, 8, 9, 8, 5, 5, 12, 7, 9, 8, 4, 5, 3
31, 4, 9, 5, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 6, 9, 10, 6, 8, 9, 8, 5, 5, 12, 7, 9, 8, 4, 6, 3
32, 4, 9, 5, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 6, 9, 10, 6, 8, 9, 8, 5, 5, 12, 7, 9, 9, 4, 6, 3
33, 4, 9, 5, 6, 6, 6, 6, 9, 4, 9, 9, 7, 5, 10, 6, 9, 10, 6, 8, 9, 9, 5, 5, 12, 7, 9, 10, 4, 6, 3
34, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 10, 6, 9, 10, 6, 8, 9, 9, 6, 5, 12, 7, 9, 10, 4, 6, 3
35, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 10, 6, 9, 11, 6, 8, 9, 9, 6, 5, 12, 7, 9, 10, 4, 6, 3
36, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 10, 6, 9, 11, 6, 8, 9, 9, 6, 5, 12, 7, 9, 10, 4, 6, 3
37, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 10, 6, 9, 11, 6, 8, 9, 9, 6, 6, 12, 7, 9, 11, 4, 6, 3
38, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 10, 6, 9, 11, 6, 8, 9, 9, 6, 6, 12, 7, 9, 11, 4, 6, 3
39, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 11, 6, 9, 11, 6, 8, 9, 9, 6, 6, 12, 7, 9, 11, 4, 6, 3
40, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 11, 6, 9, 11, 6, 8, 9, 9, 6, 6, 12, 7, 9, 11, 4, 6, 3
41, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 11, 6, 9, 11, 6, 8, 9, 9, 7, 6, 12, 7, 9, 11, 4, 6, 4
42, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 11, 6, 9, 11, 6, 8, 9, 9, 7, 6, 12, 7, 9, 11, 4, 6, 4
43, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 9, 11, 6, 8, 9, 9, 8, 6, 12, 7, 9, 12, 4, 6, 4
44, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 9, 11, 6, 8, 9, 9, 9, 6, 12, 7, 9, 12, 4, 6, 4
45, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 9, 11, 6, 8, 9, 9, 10, 6, 12, 7, 10, 12, 4, 6, 4
46, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 9, 11, 6, 8, 9, 9, 11, 6, 12, 7, 10, 12, 4, 6, 4
47, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 6, 8, 9, 9, 11, 6, 12, 7, 10, 12, 4, 6, 4
48, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 6, 8, 10, 9, 11, 6, 12, 7, 10, 12, 4, 6, 4
49, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 6, 8, 10, 9, 12, 6, 12, 7, 10, 12, 4, 6, 4
50, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 6, 8, 10, 9, 13, 6, 12, 7, 10, 12, 4, 6, 4
51, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 7, 8, 10, 9, 15, 6, 12, 7, 10, 12, 4, 6, 4
52, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 6, 10, 11, 7, 8, 10, 9, 15, 6, 12, 7, 10, 12, 4, 6, 4
53, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 7, 10, 11, 7, 8, 10, 9, 15, 6, 12, 7, 10, 12, 4, 6, 4
54, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 7, 10, 11, 8, 8, 10, 9, 15, 7, 12, 7, 10, 12, 4, 6, 4
55, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 5, 12, 7, 10, 11, 8, 8, 10, 9, 16, 7, 12, 7, 10, 12, 4, 6, 4
56, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 9, 7, 6, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 12, 4, 6, 4
57, 4, 9, 5, 6, 6, 6, 6, 9, 5, 9, 10, 7, 6, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 12, 4, 6, 4
58, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 10, 7, 6, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 12, 4, 6, 4
59, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 11, 7, 7, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 12, 4, 6, 4
60, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 11, 7, 8, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 12, 4, 6, 4
61, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 11, 7, 8, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 13, 4, 6, 4
62, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 12, 7, 8, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 13, 4, 6, 4
63, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 12, 7, 8, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 13, 4, 6, 4
64, 5, 9, 5, 6, 6, 6, 7, 9, 5, 9, 12, 7, 8, 12, 7, 10, 11, 8, 8, 10, 9, 17, 7, 12, 7, 10, 13, 4, 6, 4
