Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 1, 1, 1, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1
2, 0, 0, 1, 2, 1, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1
3, 0, 0, 1, 2, 1, 2, 1, 0, 1, 1, 2, 1, 1, 1, 1
4, 1, 0, 1, 2, 1, 3, 1, 0, 1, 1, 2, 1, 1, 1, 2
5, 1, 0, 1, 2, 1, 3, 1, 0, 1, 1, 2, 1, 2, 1, 2
6, 1, 0, 1, 2, 1, 3, 1, 0, 1, 2, 2, 1, 2, 1, 2
7, 1, 0, 1, 2, 1, 3, 1, 0, 1, 2, 2, 1, 2, 1, 2
8, 1, 0, 1, 2, 1, 3, 1, 0, 2, 2, 2, 1, 2, 1, 2
9, 1, 0, 2, 2, 1, 3, 1, 0, 4, 2, 2, 1, 3, 1, 2
10, 1, 0, 2, 2, 1, 3, 1, 1, 4, 2, 2, 1, 3, 1, 2
11, 1, 0, 2, 2, 1, 3, 1, 1, 4, 2, 2, 1, 3, 1, 2
12, 1, 0, 2, 2, 1, 4, 1, 1, 4, 2, 2, 1, 3, 1, 2
13, 1, 1, 2, 2, 1, 4, 1, 1, 4, 2, 2, 1, 3, 1, 2
14, 1, 1, 2, 2, 1, 4, 1, 1, 4, 2, 2, 1, 3, 1, 2
15, 1, 2, 2, 2, 1, 4, 1, 1, 4, 2, 2, 1, 3, 1, 2
16, 1, 2, 2, 2, 2, 4, 1, 1, 4, 2, 2, 1, 3, 1, 2
17, 1, 2, 2, 2, 2, 4, 1, 1, 4, 2, 2, 1, 4, 1, 2
18, 1, 2, 3, 3, 2, 4, 1, 1, 4, 2, 2, 3, 4, 1, 2
19, 1, 2, 3, 4, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
20, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
21, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
22, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
23, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
24, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
25, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
26, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
27, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
28, 1, 2, 3, 5, 2, 4, 1, 1, 4, 3, 2, 3, 4, 2, 2
29, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
30, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
31, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
32, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
33, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
34, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
35, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
36, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
37, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
38, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
39, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
40, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
41, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
42, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
43, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 3, 4, 2, 2
44, 1, 2, 3, 5, 3, 4, 2, 1, 4, 3, 2, 4, 4, 2, 2
45, 1, 2, 3, 5, 3, 4, 2, 1, 4, 4, 2, 4, 4, 2, 2
46, 1, 2, 3, 5, 3, 4, 2, 1, 4, 4, 2, 4, 4, 2, 2
47, 1, 2, 3, 5, 3, 4, 2, 1, 4, 4, 2, 4, 4, 2, 2
48, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
49, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
50, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
51, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
52, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
53, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
54, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
55, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
56, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
57, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
58, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 2, 2
59, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
60, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
61, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
62, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
63, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
64, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
65, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
66, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
67, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
68, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
69, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 2, 4, 4, 3, 2
70, 1, 2, 3, 5, 3, 4, 2, 1, 4, 5, 3, 4, 4, 3, 2
71, 1, 2, 3, 5, 3, 5, 2, 1, 4, 5, 3, 4, 4, 3, 2
72, 1, 2, 3, 5, 3, 5, 2, 1, 4, 5, 3, 4, 4, 3, 2
73, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
74, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
75, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
76, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
77, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
78, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
79, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
80, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
81, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
82, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
83, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
84, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
85, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
86, 1, 2, 3, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
87, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
88, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
89, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
90, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
91, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
92, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
93, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
94, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
95, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
96, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
97, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
98, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
99, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
100, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
101, 1, 2, 4, 5, 3, 6, 2, 1, 4, 5, 3, 4, 4, 3, 2
102, 1, 2, 4, 5, 3, 6, 3, 1, 4, 5, 3, 4, 4, 3, 2
103, 1, 2, 4, 5, 3, 6, 4, 1, 4, 5, 3, 4, 4, 3, 2
104, 1, 2, 4, 5, 3, 6, 4, 1, 4, 5, 3, 4, 4, 4, 2
105, 1, 2, 4, 5, 3, 6, 4, 1, 4, 5, 3, 4, 4, 4, 2
106, 1, 2, 4, 6, 3, 6, 4, 1, 4, 5, 3, 4, 4, 4, 2
107, 1, 2, 4, 6, 3, 6, 4, 1, 4, 5, 3, 4, 4, 6, 2
108, 1, 2, 4, 6, 4, 6, 4, 1, 4, 5, 3, 4, 4, 6, 2
109, 1, 2, 4, 6, 4, 6, 4, 1, 4, 5, 3, 4, 4, 6, 2
110, 1, 2, 4, 6, 5, 6, 4, 1, 4, 5, 3, 4, 4, 6, 3
111, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
112, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
113, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
114, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
115, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
116, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 3, 4, 4, 6, 3
117, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 4
118, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 4
119, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 5
120, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 6
121, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 6
122, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 6
123, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 4, 6, 6
124, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 5, 6, 6
125, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 5, 6, 6
126, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 5, 6, 6
127, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 6, 6, 6
128, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 7, 6, 6
129, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 7, 6, 6
130, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 8, 6, 6
131, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 8, 6, 6
132, 1, 2, 4, 6, 5, 6, 5, 1, 4, 5, 4, 4, 9, 6, 6
