Simulation, Total_Death
0, 77
1, 77
2, 87
3, 83
4, 76
5, 80
6, 80
7, 78
8, 77
9, 83
10, 82
11, 74
12, 82
13, 84
14, 76
15, 82
16, 81
17, 84
18, 79
19, 75
20, 79
21, 73
22, 67
23, 78
24, 74
25, 83
26, 77
27, 80
28, 80
29, 81
30, 86
31, 81
32, 75
33, 81
34, 78
35, 77
36, 81
37, 79
38, 83
39, 74
40, 82
41, 83
42, 85
43, 89
44, 75
45, 87
46, 73
47, 83
48, 77
49, 80
50, 72
51, 83
52, 84
53, 80
54, 82
55, 79
56, 83
57, 79
58, 77
59, 74
60, 82
61, 82
62, 75
63, 78
64, 88
65, 83
66, 79
67, 85
68, 81
69, 82
70, 80
71, 79
72, 84
73, 74
74, 79
75, 81
76, 85
77, 81
78, 77
79, 80
